0	0000 0000 0000 0000 0000 0000 0000 0100 	start_address = 4
1	0000 0000 0000 0000 0000 0000 0000 0011 	a = 3
2	1111 1111 1111 1111 1111 1111 1111 1011 	b = -5
3	0000 0000 0000 0000 0000 0000 0000 0010 	c = 2
4	0000 0000 0000 0000 0000 0000 0000 0001 	PUSH
5	0000 0000 0000 0000 0000 0000 0000 0011 	c (3)
6	0000 0000 0000 0000 0000 0000 0000 1101 	LOAD
7	0000 0000 0000 0000 0000 0000 0000 0001 	PUSH
8	0000 0000 0000 0000 0000 0000 0000 0010 	b (2)
9	0000 0000 0000 0000 0000 0000 0000 1101 	LOAD
10	0000 0000 0000 0000 0000 0000 0000 0001 	PUSH
11	0000 0000 0000 0000 0000 0000 0000 0001 	a (1)
12	0000 0000 0000 0000 0000 0000 0000 1101 	LOAD
13	0000 0000 0000 0000 0000 0000 0000 1000 	ADD
14	0000 0000 0000 0000 0000 0000 0000 1010 	MUL
15	0000 0000 0000 0000 0000 0000 0001 1111 	HALT
